code,name,brand,category,description,price_usd,price_ars
1423/00070-514,ENGRANAJE PRIMARIO ZANELLA RECTO BRN,,Repuestos / General,"ENGRANAJE PRIMARIO ZANELLA RECTO BRN Categoría: Repuestos / General. precio USD 0.0 | precio ARS 15133.381065 Código interno: 1423/00070-514. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,15133.381065
1423/00100-557,ENGRANAJE PUESTA EN MARCHA PUMA 4 SERIE,,Repuestos / General,"ENGRANAJE PUESTA EN MARCHA PUMA 4 SERIE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 10.937916 Código interno: 1423/00100-557. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,10.937916
1195/00006-057,ENGRANAJE SECUNDARIO 4° VELOCIDAD HONDA CD100 SLEE REGENT,,Repuestos / General,"ENGRANAJE SECUNDARIO 4° VELOCIDAD HONDA CD100 SLEE REGENT Categoría: Repuestos / General. precio USD 6.325336435059735 | precio ARS 0.0 Código interno: 1195/00006-057. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",6.325336435059735,0.0
1195/00020-040,ENGRANAJE SECUNDARIO 4ª  VELOCIDAD SUZUKI AX100,NSU,Repuestos / General,"ENGRANAJE SECUNDARIO 4ª  VELOCIDAD SUZUKI AX100 Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 5.280280850136822 | precio ARS 0.0 Código interno: 1195/00020-040. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",5.280280850136822,0.0
1751/00200-548,ENSANCHA PEDALIN HONDA XR250/TORNADO/XR125xJGO. HP,,Repuestos / General,"ENSANCHA PEDALIN HONDA XR250/TORNADO/XR125xJGO. HP Categoría: Repuestos / General. precio USD 0.0 | precio ARS 17496.421767 Código interno: 1751/00200-548. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,17496.421767
1809/00060-621,ESPARRAGO CILINDRO 8X1.25X130 x10UNID,,Repuestos / General,"ESPARRAGO CILINDRO 8X1.25X130 x10UNID Categoría: Repuestos / General. precio USD 0.0 | precio ARS 8024.284521 Código interno: 1809/00060-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,8024.284521
1809/00040-621,ESPARRAGO CILINDRO 8X1.25X140 x10UNID,,Repuestos / General,"ESPARRAGO CILINDRO 8X1.25X140 x10UNID Categoría: Repuestos / General. precio USD 0.0 | precio ARS 8302.583916 Código interno: 1809/00040-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,8302.583916
1809/00050-621,ESPARRAGO CILINDRO 8X1.25X150 x10UNID,,Repuestos / General,"ESPARRAGO CILINDRO 8X1.25X150 x10UNID Categoría: Repuestos / General. precio USD 0.0 | precio ARS 8879.166945 Código interno: 1809/00050-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,8879.166945
1809/00017-621,ESPARRAGO CILINDRO GILERA REVOLUTION x10unid,,Repuestos / General,"ESPARRAGO CILINDRO GILERA REVOLUTION x10unid Categoría: Repuestos / General. precio USD 0.0 | precio ARS 10264.940136 Código interno: 1809/00017-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,10264.940136
1809/00018-621,ESPARRAGO CILINDRO YAMAHA YBR / CRYPTON x10unid,,Repuestos / General,"ESPARRAGO CILINDRO YAMAHA YBR / CRYPTON x10unid Categoría: Repuestos / General. precio USD 0.0 | precio ARS 11395.759914 Código interno: 1809/00018-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,11395.759914
1811/00030-621,ESPARRAGO ESCAPE 6 a 7 x 40mm. x30 unid,,Repuestos / General,"ESPARRAGO ESCAPE 6 a 7 x 40mm. x30 unid Categoría: Repuestos / General. precio USD 0.0 | precio ARS 7086.603249 Código interno: 1811/00030-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,7086.603249
1811/00050-621,ESPARRAGO ESCAPE 6 a 7 x 50mm. x10 unid,,Repuestos / General,"ESPARRAGO ESCAPE 6 a 7 x 50mm. x10 unid Categoría: Repuestos / General. precio USD 0.0 | precio ARS 2839.212486 Código interno: 1811/00050-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,2839.212486
1809/00013-621,ESPARRAGO ESCAPE 7X40MM x30 unid,,Repuestos / General,"ESPARRAGO ESCAPE 7X40MM x30 unid Categoría: Repuestos / General. precio USD 0.0 | precio ARS 6336.189684 Código interno: 1809/00013-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,6336.189684
1811/00016-621,ESPARRAGO ESCAPE 8x125x40MM x30UNID,,Repuestos / General,"ESPARRAGO ESCAPE 8x125x40MM x30UNID Categoría: Repuestos / General. precio USD 0.0 | precio ARS 7161.345675 Código interno: 1811/00016-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,7161.345675
1811/00060-621,ESPARRAGO ESCAPE GIL.SMASH 6X1.00X35 x30UNID,,Repuestos / General,"ESPARRAGO ESCAPE GIL.SMASH 6X1.00X35 x30UNID Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4164.190074 Código interno: 1811/00060-621. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4164.190074
1451/02019-536,ESPEJO JGO. 10MM OVALADO UNIV.VARILLA LARGA125/150,AF,Repuestos / General,"ESPEJO JGO. 10MM OVALADO UNIV.VARILLA LARGA125/150 Marca/fabricante: AF. Categoría: Repuestos / General. precio USD 0.0 | precio ARS 12513.318939 Código interno: 1451/02019-536. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,12513.318939
1451/02024-536,ESPEJO JGO. 10MM OVALADO UNIVERSAL CON TUERCA ALTA,AF,Repuestos / General,"ESPEJO JGO. 10MM OVALADO UNIVERSAL CON TUERCA ALTA Marca/fabricante: AF. Categoría: Repuestos / General. precio USD 0.0 | precio ARS 14191.94601 Código interno: 1451/02024-536. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,14191.94601
1451/02025-536,ESPEJO JGO. 10MM OVALADO UNIVERSAL ROSCA IZQUIERDA,AF,Repuestos / General,"ESPEJO JGO. 10MM OVALADO UNIVERSAL ROSCA IZQUIERDA Marca/fabricante: AF. Categoría: Repuestos / General. precio USD 0.0 | precio ARS 11991.925341 Código interno: 1451/02025-536. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,11991.925341
1451/02018-560,ESPEJO JGO. 10MM ROSCA DER NEG OVALADO MOTOS 110cc,MDA,Repuestos / General,"ESPEJO JGO. 10MM ROSCA DER NEG OVALADO MOTOS 110cc Marca/fabricante: MDA. Categoría: Repuestos / General. precio USD 0.0 | precio ARS 13673.992563 Código interno: 1451/02018-560. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,13673.992563
1451/02001-560,ESPEJO JGO. 8 MM ROSCA DER. NEG UNIVERSAL OVALADO,MDA,Repuestos / General,"ESPEJO JGO. 8 MM ROSCA DER. NEG UNIVERSAL OVALADO Marca/fabricante: MDA. Categoría: Repuestos / General. precio USD 0.0 | precio ARS 16632.287199 Código interno: 1451/02001-560. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,16632.287199
