code,description,price_importado,price_nacional,categoria_nueva,marca_final,modelo_final
1080/00200-122,BATERIA LITIO HJB14L-FP (12N14-3B) NSU,112.6459914695855,0,BATERÍAS,,UNIVERSAL
1080/00210-122,BATERIA LITIO HJB16L-FP (YB16L-B) NSU,144.2543393363769,0,BATERÍAS,,UNIVERSAL
1080/00110-122,BATERIA LITIO HJB7L-FP (12N 7-3B) NSU,51.79442153346015,0,BATERÍAS,,UNIVERSAL
1080/00170-122,BATERIA LITIO HJTX12-FP (YTX12-BS) NSU,98.91359439752831,0,BATERÍAS,,UNIVERSAL
1080/00180-122,BATERIA LITIO HJTX14-FP (YTX14-BS) NSU,112.6459914695855,0,BATERÍAS,,UNIVERSAL
1080/00150-122,BATERIA LITIO HJTX7A-FP (YTX 7A-BS) NSU,51.79442153346015,0,BATERÍAS,,UNIVERSAL
1080/00220-122,BATERIA LITIO HJTZ10-FP (YTZ10S) NSU,112.6459914695855,0,BATERÍAS,,UNIVERSAL
1074/12110-016,BATERIA SIN ACIDO 12N 10-3A NSU,27.945903638268,0,BATERÍAS,,UNIVERSAL
1074/12080-016,BATERIA SIN ACIDO 12N 7-3B NSU,21.844372436568,0,BATERÍAS,,UNIVERSAL
1074/12077-016,BATERIA SIN ACIDO 12N 7B-3A NSU,24.3527698113282,0,BATERÍAS,,UNIVERSAL
1074/12260-016,BATERIA SIN ACIDO YB 7B-B NSU,24.5453466063366,0,BATERÍAS,,UNIVERSAL
1073/12230-041,BATERIA YB 4L-B s/ácido TOP LITE,28.21650079291859,0,BATERÍAS,,UNIVERSAL
1073/12262-057,BATERIA YB 9-B MAHLI,30.81997260097226,0,BATERÍAS,,UNIVERSAL
1073/12270-012,BATERIA YB16AL-A2 REGENT/TOUGH,243.8683396468987,0,BATERÍAS,,UNIVERSAL
1073/12270-041,BATERIA YB16AL-A2 s/ácido TOP LITE,163.9931150165904,0,BATERÍAS,,UNIVERSAL
1272/00005-022,BAULERA APPIA VECTRA PORTA PAPELES NEGRA NSU,4.671911873362235,0,ACCESORIOS,APPIA,UNIVERSAL
1272/00580-152,BAULERA PORTAOBJETOS 28 LITROS SMART C/USB NEGRO CIRCUIT,108.6546629650925,0,ACCESORIOS,,UNIVERSAL
1272/00057-566,BAULERA PORTAOBJETOS 32 LTS. C/OJO DE GATO ROJA VC,0,24469.019784,ACCESORIOS,GILERA,UNIVERSAL
1272/00600-150,BAULERA PORTAOBJETOS 35 LITROS NEGRO MIXS CROMOFORTE,69.69774193231956,0,ACCESORIOS,,UNIVERSAL
1272/00630-150,BAULERA PORTAOBJETOS 52 LITROS GRIS MIXS CROMOFORTE,97.83088379902705,0,ACCESORIOS,,UNIVERSAL
1272/00610-150,BAULERA PORTAOBJETOS 52 LITROS NEGRO MIXS CROMOFORTE,97.83088379902705,0,ACCESORIOS,,UNIVERSAL
1272/00620-150,BAULERA PORTAOBJETOS 52 LITROS ROJO MIXS CROMOFORTE,97.83088379902705,0,ACCESORIOS,,UNIVERSAL
1272/00100-566,BAULERA PORTAOBJETOS BIG48 590X430X333 2 CASCOS VC,0,66487.33773,ACCESORIOS,GILERA,UNIVERSAL
1272/00080-566,BAULERA PORTAOBJETOS VAM30 410X300X400 1 CASCO VC,0,55943.559144,ACCESORIOS,GILERA,UNIVERSAL
1272/00090-566,BAULERA PORTAOBJETOS VAM45 530X430X333 2 CASCO NEG VC,0,66432.902976,ACCESORIOS,GILERA,UNIVERSAL
1272/00092-566,BAULERA PORTAOBJETOS VAM45 530X430X333 2CASCO BLAN VC,0,80205.366186,ACCESORIOS,GILERA,UNIVERSAL
1051/00053-038,BENDIX ARR.ELECTRICO HONDA WAVE 110S C/ENGR Z55 NSU,12.17738664844574,0,OTROS,HONDA,WAVE110
1051/00035-022,BENDIX ARR.HONDA DAX110/MAX110/DAY/FUSSION C/ROSCA NSU,5.469134687491607,0,OTROS,HONDA,UNIVERSAL
1051/00035-038,BENDIX ARR.HONDA DAX110/MAX110/DAY/FUSSION C/ROSCA NSU,5.469332948706151,0,OTROS,HONDA,UNIVERSAL
1051/00046-038,BENDIX ARR.MOTOMEL DAKAR 200 C/ENGRANAJE 57DIENTES NSU,16.55272747920685,0,OTROS,MOTOMEL,NS 200
1051/00121-038,BENDIX ARR.MOTOMEL VX150 GILERA SUPER125 NSU,9.919536540536386,0,OTROS,GILERA,UNIVERSAL
1051/00001-038,BENDIX ARRANQUE BAJAJ ROUSER NS 200 NSU,12.02734730579796,0,OTROS,BAJAJ,ROUSER
1051/00002-038,BENDIX ARRANQUE BAJAJ ROUSER NS 220 NSU,8.76278160850994,0,OTROS,BAJAJ,ROUSER
1051/00005-038,BENDIX ARRANQUE COMPLETO C/ENG. BRAVA 250 61D NSU,37.59195822699249,0,OTROS,BRAVA,NS 250
1051/00037-022,BENDIX ARRANQUE COMPLETO HONDA WAVE 41DIENTES NSU,11.66432554521195,0,OTROS,HONDA,WAVE
1051/00037-038,BENDIX ARRANQUE COMPLETO HONDA WAVE 41DIENTES NSU,11.66434889616623,0,OTROS,HONDA,WAVE
1051/00109-038,BENDIX ARRANQUE DESPIECE YAMAHA YBR125 NSU,1.476193532502365,0,OTROS,YAMAHA,YBR125
1051/00020-038,BENDIX ARRANQUE GILERA SMASH DESPIECE NSU,0.6340372221567536,0,OTROS,GILERA,SMASH
1051/00012-038,BENDIX ARRANQUE GILERA SMASH NSU,3.840523173903694,0,OTROS,GILERA,SMASH
1051/00033-038,BENDIX ARRANQUE HONDA CBX 200 NSU,13.11634253469314,0,OTROS,HONDA,CB 200
1051/00031-038,BENDIX ARRANQUE HONDA CG125 C/ENGRANAJE 57DIENTES NSU,26.68871042968814,0,OTROS,HONDA,CG125
1051/00032-038,BENDIX ARRANQUE HONDA CG125 NSU,6.243572645665742,0,OTROS,HONDA,CG125
1051/00038-038,BENDIX ARRANQUE HONDA TITAN 150 NSU,8.34896342152977,0,OTROS,HONDA,TITAN
1051/00038-022,BENDIX ARRANQUE HONDA TITAN 150 NSU,8.34886655733622,0,OTROS,HONDA,TITAN
1051/00050-038,BENDIX ARRANQUE HONDA WAVE NSU,6.243572645665742,0,OTROS,HONDA,WAVE
1051/00105-038,BENDIX ARRANQUE MOTOMEL CUSTOM/CERRO/ZANELLA150 NSU,4.774639081356011,0,OTROS,MOTOMEL,UNIVERSAL
1051/00045-038,BENDIX ARRANQUE MOTOMEL DAKAR 200 NSU,7.681046347807388,0,OTROS,MOTOMEL,NS 200
1051/00108-038,BENDIX ARRANQUE YAMAHA YBR 125 NSU,12.48714529133148,0,OTROS,YAMAHA,YBR125
1051/00100-038,BENDIX CORONA ARRANQUE ZANELLA RX150 C/ENGR.57D NSU,8.324763527554323,0,TRANSMISIÓN,ZANELLA,RX150
1051/00107-038,BENDIX DESPIECE ARRANQUE ZANELLA RX150 NSU,0.7259968192634584,0,OTROS,ZANELLA,RX150
1087/00065-128,BIELA HONDA BIZ/C-90 LUXE/CD-100 .,8.288592539135456,0,OTROS,HONDA,BIZ
1087/00065-038,BIELA HONDA BIZ/C-90 LUXE/CD-100 NSU,8.288639152808704,0,OTROS,HONDA,BIZ
1087/00047-038,BIELA HONDA BIZ-SMASH 110CC. LARGA TORTA 100MM NSU,7.0350278884449,0,OTROS,HONDA,SMASH
1087/00087-038,BIELA HONDA CBX 150/NX 150 NSU,8.254723126070022,0,OTROS,HONDA,CB 150
1087/00088-038,BIELA HONDA TITAN 2002/2006 NSU,7.152641357787322,0,OTROS,HONDA,TITAN
1087/00093-128,BIELA HONDA TITAN CG150 .,10.18834723585602,0,OTROS,HONDA,CG150 / TITAN
1087/00093-038,BIELA HONDA TITAN CG150 NSU,10.18816146723003,0,OTROS,HONDA,CG150 / TITAN
1087/00112-077,BIELA MOTOMEL DAKAR 200 / SKUA 200 MUÑON 32 NSU,9.572429588147163,0,OTROS,MOTOMEL,SKUA200
1087/00125-077,BIELA MOTOMEL DAKAR 200 VARILLERO PERNO17 MUÑON 32 NSU,10.81172707066269,0,TORNILLERÍA Y FIJACIONES,MOTOMEL,NS 200
1087/00114-128,BIELA MOTOMEL SKUA 150CC .,8.121484418160554,0,OTROS,MOTOMEL,SKUA150
